Offense_Category,Total_Offenders,Male,Female,Unknown_Sex
Assault,1916007,1322054,541137,52816
Homicide,13169,10191,1606,1372
Human Trafficking,1526,1192,250,84
Kidnapping_Abduction,31672,25481,5650,541
Sex,120298,109421,7286,3591
Arson,15675,9656,2662,3357
Bribery,691,468,198,25
Burglary/Breaking & Entering,352844,197115,46863,108866
Counterfeiting/Forgery,84308,45496,25899,12913
Destruction/Damage/Vandalism ,663771,368994,130690,164087
Embezzlement,20438,10415,9520,503
Extortion/Blackmail,5661,2264,1636,1761
Fraud,344021,147129,88692,108200
Larceny/Theft,1556452,760396,391687,404369
Motor Vehicle Theft,256851,131571,40125,85155
Robbery,146933,118649,18146,10138
Stolen Property,89164,65992,19808,3364
Animal Cruelty,10414,5964,3609,841
Drug/Narcotic,1295689,921613,365369,8707
Gambling,2122,1495,570,57
Pornography/Obscene Material,21137,15055,4100,1982
Prostitution,8998,4289,4636,73
Weapon Law Violations,215231,176294,27848,11089
