Offense_Category,Total_Victims,Male,Female,Unknown_Sex
Assault,2063412,874186,1178359,10867
Homicide,11815,9052,2725,38
Human Trafficking,1576,187,1230,159
Kidnapping_Abduction,31216,7651,23482,83
Sex,127261,16426,110412,423
Arson,18219,9530,7761,928
Bribery,463,271,182,10
Burglary/Breaking & Entering,467235,254554,209457,3224
Counterfeiting/Forgery,51187,25776,24086,1325
Destruction/Damage/Vandalism ,845368,407370,432106,5892
Embezzlement,5452,2919,2474,59
Extortion/Blackmail,9294,6375,2890,29
Fraud,588383,267485,314568,6330
Larceny/Theft,1811008,978071,819136,13801
Motor Vehicle Theft,381071,237163,141948,1960
Robbery,117663,76413,40884,366
Stolen Property,66771,37454,23530,5787
